Country,Life Expectancy,Adult Mortality,Infant Deaths,Population,Life Expectancy at Birth,Infant Mortality Rate,Medical Doctors,Under-5 Mortality Rate,GDP (billions of US$),GDP per Capita (US$),Current Health Expenditure (% of GDP),Death by Meningitis,Death by Neoplasms,'Death by Fire, Heat, and Hot Substances',Death by Malaria,Death by Drowning,Death by Interpersonal Violence,Death by HIV/AIDS,Death by Drug Use,Death by Tuberculosis,Death by Road Injuries,Death by Maternal Disorders,Death by Lower Respiratory Infections,Death by Neonatal Disorders,Death by Alcohol Use,Death by Forces of Nature,Death by Diarrheal Diseases
Afghanistan,65,263,62,33736494,61.65,53.17 [46.81-59.79],2.85,70.44 [60.72-80.86],20.057,2534.919,10.11,1821,18876,463,284,1730,5039,230,339,3893,7730,4320,21016,23953,131,446,5509
Albania,77.8,74,0,28873,77.84,8.51 [8.21-8.84],,9.57 [9.23-9.94],11.389,11661.999,4.9,14,4313,18,0,41,63,2,26,11,258,3,418,199,18,1,7
Algeria,75.6,19,21,39871528,76.54,21.61 [21.13-22.1],,25.18 [24.61-25.75],165.979,11944.989,6.98,387,20663,808,0,571,499,328,465,477,11131,695,5634,11344,103,12,568
Angola,52.4,335,66,2785935,61.72,57.82 [34.14-91.99],,88.2 [46.58-149.6],116.194,7668.513,2.61,2910,10753,517,9549,915,905,13544,61,13149,9012,2166,14257,19755,182,75,17058
Argentina,76.3,116,8,43417765,76.17,10.22 [10.02-10.43],,11.47 [11.25-11.7],642.464,20105.199,10.23,469,78388,661,0,563,2905,1765,78,740,6394,398,36109,3831,728,17,781
Armenia,74.8,118,1,291695,74.51,12.85 [10.24-15.6],29.14,14.38 [11.5-17.45],10.553,9753.364,10.12,6,5768,49,0,47,162,31,9,84,274,9,595,210,65,0,14
Australia,82.8,59,1,23789338,82.28,3.26 [3.18-3.33],34.89,3.86 [3.77-3.95],1233.135,46343.247,9.33,46,48482,103,0,198,318,64,954,85,1549,12,3763,542,553,9,218
Austria,81.5,65,0,8633169,80.98,3.05 [2.92-3.18],51.04,3.71 [3.55-3.87],382.01,49955.465,10.37,32,22000,44,0,58,79,44,155,55,495,4,1049,128,519,18,123
Azerbaijan,72.7,118,5,9649341,70.67,23.36 [17.67-30.62],,26.33 [19.78-35.01],50.844,15026.136,4.11,69,10853,434,0,317,364,30,34,681,776,36,2988,2435,208,0,136
Bangladesh,71.8,129,92,1612886,73.58,30.65 [29.32-32.08],4.86,37.54 [35.72-39.51],195.079,3810.078,2.64,2366,87112,1233,901,10182,4087,368,233,30629,8469,7439,37458,55251,286,159,31321
